#length	true answer	estimate	FP
1	0	1	0.999932
145	0	1	0.990142
289	0	1	0.980352
433	0	1	0.970562
577	0	1	0.960773
721	0	1	0.950983
865	1	1	0.941193
1009	1	1	0.931403
1153	1	1	0.921613
1297	1	1	0.911823
1441	1	1	0.902033
1585	1	1	0.892244
1729	1	1	0.882454
1873	1	1	0.872664
2017	1	1	0.862874
2161	1	1	0.853084
2305	1	1	0.843294
2449	1	1	0.833504
2593	1	1	0.823714
2737	1	1	0.813925
2881	1	1	0.804135
3025	1	1	0.794345
3169	1	1	0.784555
3313	1	1	0.774765
3457	1	1	0.764975
3601	1	1	0.755185
3745	1	1	0.745396
3889	1	1	0.735606
4033	1	1	0.725816
4177	1	1	0.716026
4321	1	1	0.706236
4465	1	1	0.696446
4609	1	1	0.686656
4753	1	1	0.676867
4897	1	1	0.667077
5041	1	1	0.657287
5185	1	1	0.647497
5329	1	1	0.637707
5473	1	1	0.627917
5617	1	1	0.618127
5761	1	1	0.608337
5905	1	1	0.598548
6049	1	1	0.588758
6193	1	1	0.578968
6337	1	1	0.569178
6481	1	1	0.559388
6625	1	1	0.549598
6769	1	1	0.539808
6913	1	1	0.530019
7057	1	1	0.520229
7201	1	1	0.510439
7345	1	1	0.500649
7489	1	1	0.490859
7633	1	1	0.481069
7777	1	1	0.471279
7921	1	1	0.461489
8065	1	1	0.451700
8209	1	1	0.441910
8353	1	1	0.432120
8497	1	1	0.422330
8641	1	1	0.412540
8785	1	1	0.402750
8929	1	1	0.392960
9073	1	1	0.383171
9217	1	1	0.373381
9361	1	1	0.363591
9505	1	1	0.353801
9649	1	1	0.344011
9793	1	1	0.334221
9937	1	1	0.324431
10081	1	1	0.314642
10225	1	1	0.304852
10369	1	1	0.295062
10513	1	1	0.285272
10657	1	1	0.275482
10801	1	1	0.265692
10945	1	1	0.255902
11089	1	1	0.246112
11233	1	1	0.236323
11377	1	1	0.226533
11521	1	1	0.216743
11665	1	1	0.206953
11809	1	1	0.197163
11953	1	1	0.187373
12097	1	1	0.177583
12241	1	1	0.167794
12385	1	1	0.158004
12529	1	1	0.148214
12673	1	1	0.138424
12817	1	1	0.128634
12961	1	1	0.118844
13105	1	1	0.109054
13249	1	1	0.099265
13393	1	1	0.089475
13537	1	1	0.079685
13681	1	1	0.069895
13825	1	1	0.060105
13969	1	1	0.050315
14113	1	1	0.040525
14257	1	1	0.030735
14401	1	1	0.020946
14406	1	1	0.020606
