#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
exponential2	43	313814094	BF	subsecond	seconds	0.084746	0.000424	0.159636	0.000000
exponential2	43	313814094	BF	subsecond	minutes	0.000000	0.002136	0.195580	0.000000
exponential2	43	313814094	BF	subsecond	hours	0.000000	0.005217	0.213052	0.000000
exponential2	43	313814094	BF	subsecond	days	0.000000	0.000103	0.222333	0.000000
exponential2	43	313814094	BF	subsecond	months	0.000000	0.000000	0.214192	0.000000
exponential2	43	313814094	BF	subsecond	years	0.000000	0.043000	0.010000	0.000000
exponential2	43	313814094	BF	seconds	seconds	0.115771	0.000180	0.396671	0.000000
exponential2	43	313814094	BF	seconds	minutes	0.000287	0.000195	0.216331	0.000000
exponential2	43	313814094	BF	seconds	hours	0.000000	0.000475	0.212396	0.000000
exponential2	43	313814094	BF	seconds	days	0.000000	0.000397	0.222312	0.000000
exponential2	43	313814094	BF	seconds	months	0.000000	0.000624	0.214190	0.000000
exponential2	43	313814094	BF	seconds	years	0.000000	0.042000	0.010000	0.000000
exponential2	43	313814094	BF	minutes	seconds	0.174088	0.000356	0.938133	0.000000
exponential2	43	313814094	BF	minutes	minutes	0.000000	0.000270	0.405333	0.000000
exponential2	43	313814094	BF	minutes	hours	0.000000	0.000367	0.237827	0.000000
exponential2	43	313814094	BF	minutes	days	0.000000	0.000430	0.221043	0.000000
exponential2	43	313814094	BF	minutes	months	0.000000	0.000425	0.214084	0.000000
exponential2	43	313814094	BF	hours	seconds	0.179808	0.000433	0.997412	0.000000
exponential2	43	313814094	BF	hours	minutes	0.000000	0.000287	0.889929	0.000000
exponential2	43	313814094	BF	hours	hours	0.000000	0.000206	0.464174	0.000000
exponential2	43	313814094	BF	hours	days	0.000000	0.000582	0.215658	0.000000
exponential2	43	313814094	BF	hours	months	0.000000	0.000779	0.211757	0.000000
exponential2	43	313814094	BF	days	seconds	0.171245	0.000545	0.999908	0.000000
exponential2	43	313814094	BF	days	minutes	0.000000	0.000268	0.994320	0.000000
exponential2	43	313814094	BF	days	hours	0.000000	0.000168	0.884167	0.000000
exponential2	43	313814094	BF	days	days	0.000000	0.000174	0.425258	0.000000
exponential2	43	313814094	BF	days	months	0.000000	0.000658	0.241549	0.000000
exponential2	43	313814094	BF	months	seconds	0.177196	0.000153	0.999993	0.000000
exponential2	43	313814094	BF	months	minutes	0.000000	0.000180	0.999556	0.000000
