#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p95	ci-width:p95	ci-miss-rate
exponential2	43	313814094	BF	subsecond	seconds	0.084746	0.004000	0.374231	0.000000
exponential2	43	313814094	BF	subsecond	minutes	0.000000	0.005000	0.367592	0.000000
exponential2	43	313814094	BF	subsecond	hours	0.000000	0.054995	0.406377	0.000000
exponential2	43	313814094	BF	subsecond	days	0.000000	0.001000	0.397502	0.000000
exponential2	43	313814094	BF	subsecond	months	0.000000	0.000000	0.430391	0.000000
exponential2	43	313814094	BF	subsecond	years	0.000000	0.043000	0.010000	0.000000
exponential2	43	313814094	BF	seconds	seconds	0.115771	0.001499	0.827018	0.000000
exponential2	43	313814094	BF	seconds	minutes	0.000287	0.001500	0.395082	0.000000
exponential2	43	313814094	BF	seconds	hours	0.000000	0.001493	0.391003	0.000000
exponential2	43	313814094	BF	seconds	days	0.000000	0.002498	0.384502	0.000000
exponential2	43	313814094	BF	seconds	months	0.000000	0.002486	0.430391	0.000000
exponential2	43	313814094	BF	seconds	years	0.000000	0.042000	0.010000	0.000000
exponential2	43	313814094	BF	minutes	seconds	0.174088	0.001493	0.997246	0.000000
exponential2	43	313814094	BF	minutes	minutes	0.000000	0.001496	0.807825	0.000000
exponential2	43	313814094	BF	minutes	hours	0.000000	0.001496	0.470909	0.000000
exponential2	43	313814094	BF	minutes	days	0.000000	0.001499	0.383431	0.000000
exponential2	43	313814094	BF	minutes	months	0.000000	0.002496	0.430390	0.000000
exponential2	43	313814094	BF	hours	seconds	0.179808	0.002499	0.999895	0.000000
exponential2	43	313814094	BF	hours	minutes	0.000000	0.001498	0.990993	0.000000
exponential2	43	313814094	BF	hours	hours	0.000000	0.001499	0.842197	0.000000
exponential2	43	313814094	BF	hours	days	0.000000	0.001500	0.403864	0.000000
exponential2	43	313814094	BF	hours	months	0.000000	0.002498	0.429990	0.000000
exponential2	43	313814094	BF	days	seconds	0.171245	0.001495	0.999996	0.000000
exponential2	43	313814094	BF	days	minutes	0.000000	0.001499	0.999682	0.000000
exponential2	43	313814094	BF	days	hours	0.000000	0.001500	0.993591	0.000000
exponential2	43	313814094	BF	days	days	0.000000	0.002500	0.813958	0.000000
exponential2	43	313814094	BF	days	months	0.000000	0.002498	0.422110	0.000000
exponential2	43	313814094	BF	months	seconds	0.177196	0.001499	1.000000	0.000000
exponential2	43	313814094	BF	months	minutes	0.000000	0.001500	0.999976	0.000000
exponential2	43	313814094	BF	months	hours	0.000000	0.001499	0.999333	0.000000
exponential2	43	313814094	BF	months	days	0.000000	0.002498	0.984144	0.000000
exponential2	43	313814094	BF	months	months	0.000000	0.003996	0.841389	0.000000
exponential2	43	313814094	BF	years	seconds	1.000000	0.100000	1.000000	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	seconds	0.033898	0.000500	0.502145	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	minutes	0.000000	0.001000	0.334081	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	hours	0.000000	0.000000	0.193490	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	days	0.000000	0.000500	0.108283	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	months	0.000000	0.001000	0.069142	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	seconds	0.137891	0.000500	0.873666	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	minutes	0.000000	0.000500	0.337035	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	hours	0.000000	0.000500	0.173732	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	days	0.000000	0.000500	0.104510	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	months	0.000000	0.000500	0.069142	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,1,1	107	313814094	BF	minutes	seconds	0.173801	0.000500	0.995449	0.000000
rationalPower1,4,1,1	107	313814094	BF	minutes	minutes	0.000000	0.000500	0.743937	0.000000
rationalPower1,4,1,1	107	313814094	BF	minutes	hours	0.000000	0.000500	0.211287	0.000000
rationalPower1,4,1,1	107	313814094	BF	minutes	days	0.000000	0.000500	0.110480	0.000000
rationalPower1,4,1,1	107	313814094	BF	minutes	months	0.000000	0.000500	0.069016	0.000000
rationalPower1,4,1,1	107	313814094	BF	hours	seconds	0.179808	0.000500	0.999716	0.000000
rationalPower1,4,1,1	107	313814094	BF	hours	minutes	0.000000	0.000500	0.971414	0.000000
rationalPower1,4,1,1	107	313814094	BF	hours	hours	0.000000	0.000500	0.591108	0.000000
rationalPower1,4,1,1	107	313814094	BF	hours	days	0.000000	0.000500	0.134629	0.000000
rationalPower1,4,1,1	107	313814094	BF	hours	months	0.000000	0.000500	0.065527	0.000000
rationalPower1,4,1,1	107	313814094	BF	days	seconds	0.171245	0.000500	0.999979	0.000000
rationalPower1,4,1,1	107	313814094	BF	days	minutes	0.000000	0.000500	0.998336	0.000000
rationalPower1,4,1,1	107	313814094	BF	days	hours	0.000000	0.000500	0.962856	0.000000
rationalPower1,4,1,1	107	313814094	BF	days	days	0.000000	0.000500	0.478936	0.000000
rationalPower1,4,1,1	107	313814094	BF	days	months	0.000000	0.001500	0.095014	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	seconds	0.177196	0.000500	0.999998	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	minutes	0.000000	0.000500	0.999770	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	hours	0.000000	0.000500	0.996199	0.000000
