#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p95	ci-width:p95	ci-miss-rate
exponential2	42	329573348	BF	subsecond	seconds	0.050847	0.001000	0.478900	0.000000
exponential2	42	329573348	BF	subsecond	minutes	0.000000	0.008496	0.452302	0.000000
exponential2	42	329573348	BF	subsecond	hours	0.000000	0.055993	0.404654	0.000000
exponential2	42	329573348	BF	subsecond	days	0.000000	0.049996	0.400720	0.000000
exponential2	42	329573348	BF	subsecond	months	0.000000	0.058997	0.349025	0.000000
exponential2	42	329573348	BF	subsecond	years	0.000000	0.041000	0.010000	0.000000
exponential2	42	329573348	BF	seconds	seconds	0.118357	0.001500	0.846717	0.000000
exponential2	42	329573348	BF	seconds	minutes	0.000000	0.001499	0.444417	0.000000
exponential2	42	329573348	BF	seconds	hours	0.000000	0.001499	0.395803	0.000000
exponential2	42	329573348	BF	seconds	days	0.000000	0.001499	0.400699	0.000000
exponential2	42	329573348	BF	seconds	months	0.000000	0.001494	0.349025	0.000000
exponential2	42	329573348	BF	seconds	years	0.000000	0.043000	0.010000	0.000000
exponential2	42	329573348	BF	minutes	seconds	0.264005	0.001500	0.997899	0.000000
exponential2	42	329573348	BF	minutes	minutes	0.003735	0.002499	0.843016	0.000000
exponential2	42	329573348	BF	minutes	hours	0.000000	0.001496	0.402522	0.000000
exponential2	42	329573348	BF	minutes	days	0.000000	0.001496	0.400233	0.000000
exponential2	42	329573348	BF	minutes	months	0.000000	0.001498	0.349024	0.000000
exponential2	42	329573348	BF	hours	seconds	0.230656	0.001496	0.999887	0.000000
exponential2	42	329573348	BF	hours	minutes	0.000737	0.001497	0.990723	0.000000
exponential2	42	329573348	BF	hours	hours	0.000000	0.001500	0.810887	0.000000
exponential2	42	329573348	BF	hours	days	0.000000	0.001500	0.439417	0.000000
exponential2	42	329573348	BF	hours	months	0.000000	0.003497	0.362027	0.000000
exponential2	42	329573348	BF	days	seconds	0.261251	0.001500	0.999996	0.000000
exponential2	42	329573348	BF	days	minutes	0.040912	0.001499	0.999662	0.000000
exponential2	42	329573348	BF	days	hours	0.001499	0.001496	0.990940	0.000000
exponential2	42	329573348	BF	days	days	0.000000	0.001499	0.793475	0.000000
exponential2	42	329573348	BF	days	months	0.000000	0.002500	0.414694	0.000000
exponential2	42	329573348	BF	months	seconds	0.391371	0.001500	1.000000	0.000000
exponential2	42	329573348	BF	months	minutes	0.095532	0.001500	0.999974	0.000000
exponential2	42	329573348	BF	months	hours	0.019763	0.002498	0.999304	0.000000
exponential2	42	329573348	BF	months	days	0.000000	0.002499	0.976954	0.000000
exponential2	42	329573348	BF	months	months	0.000000	0.008998	0.833458	0.000000
exponential2	42	329573348	BF	years	seconds	1.000000	0.100000	1.000000	0.000000
rationalPower1,4,1,1	110	329573348	BF	subsecond	seconds	0.033898	0.000000	0.486280	0.000000
rationalPower1,4,1,1	110	329573348	BF	subsecond	minutes	0.000000	0.001000	0.347697	0.000000
rationalPower1,4,1,1	110	329573348	BF	subsecond	hours	0.000000	0.000000	0.197476	0.000000
rationalPower1,4,1,1	110	329573348	BF	subsecond	days	0.000000	0.001500	0.148829	0.000000
rationalPower1,4,1,1	110	329573348	BF	subsecond	months	0.000000	0.000000	0.074503	0.000000
rationalPower1,4,1,1	110	329573348	BF	subsecond	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,1,1	110	329573348	BF	seconds	seconds	0.120942	0.000500	0.856966	0.000000
rationalPower1,4,1,1	110	329573348	BF	seconds	minutes	0.000000	0.000500	0.359683	0.000000
rationalPower1,4,1,1	110	329573348	BF	seconds	hours	0.000000	0.000500	0.187655	0.000000
rationalPower1,4,1,1	110	329573348	BF	seconds	days	0.000000	0.000500	0.123585	0.000000
rationalPower1,4,1,1	110	329573348	BF	seconds	months	0.000000	0.000500	0.074503	0.000000
rationalPower1,4,1,1	110	329573348	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,1,1	110	329573348	BF	minutes	seconds	0.264292	0.000500	0.996232	0.000000
rationalPower1,4,1,1	110	329573348	BF	minutes	minutes	0.003735	0.000500	0.747568	0.000000
rationalPower1,4,1,1	110	329573348	BF	minutes	hours	0.000000	0.000500	0.203633	0.000000
rationalPower1,4,1,1	110	329573348	BF	minutes	days	0.000000	0.000500	0.122923	0.000000
rationalPower1,4,1,1	110	329573348	BF	minutes	months	0.000000	0.000500	0.074444	0.000000
rationalPower1,4,1,1	110	329573348	BF	hours	seconds	0.230656	0.000500	0.999650	0.000000
rationalPower1,4,1,1	110	329573348	BF	hours	minutes	0.000737	0.000500	0.972992	0.000000
rationalPower1,4,1,1	110	329573348	BF	hours	hours	0.000000	0.000500	0.572393	0.000000
rationalPower1,4,1,1	110	329573348	BF	hours	days	0.000000	0.000500	0.132409	0.000000
rationalPower1,4,1,1	110	329573348	BF	hours	months	0.000000	0.000500	0.073271	0.000000
rationalPower1,4,1,1	110	329573348	BF	days	seconds	0.261251	0.000500	0.999979	0.000000
rationalPower1,4,1,1	110	329573348	BF	days	minutes	0.040912	0.000500	0.998178	0.000000
rationalPower1,4,1,1	110	329573348	BF	days	hours	0.001499	0.000500	0.956905	0.000000
rationalPower1,4,1,1	110	329573348	BF	days	days	0.000000	0.000500	0.468471	0.000000
rationalPower1,4,1,1	110	329573348	BF	days	months	0.000000	0.000500	0.093303	0.000000
rationalPower1,4,1,1	110	329573348	BF	months	seconds	0.391371	0.000500	0.999997	0.000000
rationalPower1,4,1,1	110	329573348	BF	months	minutes	0.095532	0.000500	0.999778	0.000000
rationalPower1,4,1,1	110	329573348	BF	months	hours	0.019763	0.000500	0.994508	0.000000
rationalPower1,4,1,1	110	329573348	BF	months	days	0.000000	0.001500	0.870360	0.000000
rationalPower1,4,1,1	110	329573348	BF	months	months	0.000000	0.000500	0.356486	0.000000
rationalPower1,4,1,1	110	329573348	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	seconds	0.033898	0.001500	0.534928	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	minutes	0.000000	0.000500	0.277995	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	hours	0.000000	0.000000	0.154066	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	days	0.000000	0.001000	0.088865	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	months	0.000000	0.000000	0.059254	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	years	0.000000	0.002000	0.010000	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	seconds	0.114622	0.000500	0.843409	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	minutes	0.000000	0.000500	0.276558	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	hours	0.000000	0.000500	0.130598	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	days	0.000000	0.000500	0.084825	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	months	0.000000	0.000500	0.059249	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,2,1	179	329573348	BF	minutes	seconds	0.263430	0.000500	0.993749	0.000000
rationalPower1,4,2,1	179	329573348	BF	minutes	minutes	0.003735	0.000500	0.659267	0.000000
rationalPower1,4,2,1	179	329573348	BF	minutes	hours	0.000000	0.000500	0.142591	0.000000
rationalPower1,4,2,1	179	329573348	BF	minutes	days	0.000000	0.000500	0.076376	0.000000
rationalPower1,4,2,1	179	329573348	BF	minutes	months	0.000000	0.000500	0.058699	0.000000
rationalPower1,4,2,1	179	329573348	BF	hours	seconds	0.230656	0.000500	0.999462	0.000000
rationalPower1,4,2,1	179	329573348	BF	hours	minutes	0.000737	0.000500	0.956848	0.000000
rationalPower1,4,2,1	179	329573348	BF	hours	hours	0.000000	0.000500	0.434299	0.000000
rationalPower1,4,2,1	179	329573348	BF	hours	days	0.000000	0.000500	0.083845	0.000000
rationalPower1,4,2,1	179	329573348	BF	hours	months	0.000000	0.000500	0.045929	0.000000
rationalPower1,4,2,1	179	329573348	BF	days	seconds	0.261251	0.000500	0.999961	0.000000
rationalPower1,4,2,1	179	329573348	BF	days	minutes	0.040912	0.000500	0.996682	0.000000
rationalPower1,4,2,1	179	329573348	BF	days	hours	0.001499	0.000500	0.909992	0.000000
rationalPower1,4,2,1	179	329573348	BF	days	days	0.000000	0.000500	0.299562	0.000000
rationalPower1,4,2,1	179	329573348	BF	days	months	0.000000	0.000500	0.060204	0.000000
rationalPower1,4,2,1	179	329573348	BF	months	seconds	0.391371	0.000500	0.999995	0.000000
rationalPower1,4,2,1	179	329573348	BF	months	minutes	0.095532	0.000500	0.999635	0.000000
rationalPower1,4,2,1	179	329573348	BF	months	hours	0.019763	0.000500	0.989539	0.000000
rationalPower1,4,2,1	179	329573348	BF	months	days	0.000000	0.000500	0.758334	0.000000
rationalPower1,4,2,1	179	329573348	BF	months	months	0.000000	0.000000	0.263136	0.000000
rationalPower1,4,2,1	179	329573348	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	seconds	0.033898	0.000500	0.329490	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	minutes	0.000000	0.000500	0.159086	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	hours	0.000000	0.000000	0.096005	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	days	0.000000	0.000500	0.059180	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	months	0.000000	0.001000	0.021280	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,4,1	306	329573348	BF	seconds	seconds	0.094513	0.000500	0.780759	0.000000
rationalPower1,4,4,1	306	329573348	BF	seconds	minutes	0.000000	0.000500	0.164089	0.000000
rationalPower1,4,4,1	306	329573348	BF	seconds	hours	0.000000	0.000500	0.076823	0.000000
rationalPower1,4,4,1	306	329573348	BF	seconds	days	0.000000	0.000500	0.059287	0.000000
rationalPower1,4,4,1	306	329573348	BF	seconds	months	0.000000	0.000500	0.021279	0.000000
