#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
exponential2	42	329573348	CMS	subsecond	seconds	0.342050	0.081994	1.999900	0.000000
exponential2	42	329573348	CMS	subsecond	minutes	0.097942	0.081993	0.689479	0.000000
exponential2	42	329573348	CMS	subsecond	hours	0.039138	0.082990	0.591483	0.000000
exponential2	42	329573348	CMS	subsecond	days	0.018219	0.095490	0.576119	0.000000
exponential2	42	329573348	CMS	subsecond	months	0.008004	0.005000	0.172598	0.000000
exponential2	42	329573348	CMS	subsecond	years	0.000000	0.089000	0.000024	0.000000
exponential2	42	329573348	CMS	seconds	seconds	0.595328	0.001499	1.999900	0.000000
exponential2	42	329573348	CMS	seconds	minutes	0.089963	0.001494	0.736000	0.000000
exponential2	42	329573348	CMS	seconds	hours	0.039475	0.001500	0.592352	0.000000
exponential2	42	329573348	CMS	seconds	days	0.017836	0.001498	0.554322	0.000000
exponential2	42	329573348	CMS	seconds	months	0.008213	0.002496	0.172633	0.000000
exponential2	42	329573348	CMS	seconds	years	0.000000	0.000000	0.000000	0.000000
exponential2	42	329573348	CMS	minutes	seconds	3.344586	0.001500	1.999933	0.000000
exponential2	42	329573348	CMS	minutes	minutes	0.299421	0.001500	1.999916	0.000000
exponential2	42	329573348	CMS	minutes	hours	0.048662	0.002494	0.685354	0.000000
exponential2	42	329573348	CMS	minutes	days	0.017823	0.001500	0.565580	0.000000
exponential2	42	329573348	CMS	minutes	months	0.008211	0.002496	0.172631	0.000000
exponential2	42	329573348	CMS	hours	seconds	2.937610	0.001499	2.000000	0.000000
exponential2	42	329573348	CMS	hours	minutes	0.490892	0.001496	1.999956	0.000000
exponential2	42	329573348	CMS	hours	hours	0.090353	0.003494	1.999916	0.000000
exponential2	42	329573348	CMS	hours	days	0.019446	0.002489	0.778666	0.000000
exponential2	42	329573348	CMS	hours	months	0.007868	0.002997	0.170859	0.000000
exponential2	42	329573348	CMS	days	seconds	3.458898	0.001496	2.000000	0.000000
exponential2	42	329573348	CMS	days	minutes	3.198179	0.001496	2.000000	0.000000
exponential2	42	329573348	CMS	days	hours	0.314808	0.003490	2.000000	0.000000
exponential2	42	329573348	CMS	days	days	0.044663	0.001498	1.999904	0.000000
exponential2	42	329573348	CMS	days	months	0.007242	0.002496	0.354902	0.000000
exponential2	42	329573348	CMS	months	seconds	4.601627	0.002494	2.000000	0.000000
exponential2	42	329573348	CMS	months	minutes	172.139581	0.002488	2.000000	0.000000
exponential2	42	329573348	CMS	months	hours	1.032967	0.002488	2.000000	0.000000
exponential2	42	329573348	CMS	months	days	0.103912	0.001500	1.999909	0.000000
exponential2	42	329573348	CMS	months	months	0.029035	0.035494	0.823553	0.000000
exponential2	42	329573348	CMS	years	seconds	0.000104	0.000000	2.000000	0.000000
rationalPower1,4,1,1	110	329573348	CMS	subsecond	seconds	0.386040	0.000500	1.999900	0.000000
rationalPower1,4,1,1	110	329573348	CMS	subsecond	minutes	0.053784	0.000500	0.653783	0.000000
rationalPower1,4,1,1	110	329573348	CMS	subsecond	hours	0.018011	0.002500	0.242138	0.000000
rationalPower1,4,1,1	110	329573348	CMS	subsecond	days	0.016516	0.000000	0.137285	0.000000
rationalPower1,4,1,1	110	329573348	CMS	subsecond	months	0.001534	0.000000	0.064988	0.000000
rationalPower1,4,1,1	110	329573348	CMS	subsecond	years	0.000000	0.000000	0.000024	0.000000
rationalPower1,4,1,1	110	329573348	CMS	seconds	seconds	0.595878	0.000500	1.999900	0.000000
rationalPower1,4,1,1	110	329573348	CMS	seconds	minutes	0.072778	0.000500	0.671200	0.000000
rationalPower1,4,1,1	110	329573348	CMS	seconds	hours	0.012713	0.000500	0.252152	0.000000
rationalPower1,4,1,1	110	329573348	CMS	seconds	days	0.011734	0.000500	0.128585	0.000000
rationalPower1,4,1,1	110	329573348	CMS	seconds	months	0.001450	0.000500	0.064970	0.000000
rationalPower1,4,1,1	110	329573348	CMS	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	110	329573348	CMS	minutes	seconds	3.005707	0.000500	1.999923	0.000000
rationalPower1,4,1,1	110	329573348	CMS	minutes	minutes	0.256274	0.000500	1.999909	0.000000
rationalPower1,4,1,1	110	329573348	CMS	minutes	hours	0.020450	0.000500	0.386050	0.000000
rationalPower1,4,1,1	110	329573348	CMS	minutes	days	0.011824	0.000500	0.153394	0.000000
rationalPower1,4,1,1	110	329573348	CMS	minutes	months	0.001417	0.000500	0.064639	0.000000
rationalPower1,4,1,1	110	329573348	CMS	hours	seconds	2.810599	0.000500	2.000000	0.000000
rationalPower1,4,1,1	110	329573348	CMS	hours	minutes	0.385610	0.000500	1.999925	0.000000
rationalPower1,4,1,1	110	329573348	CMS	hours	hours	0.048860	0.000500	1.999906	0.000000
rationalPower1,4,1,1	110	329573348	CMS	hours	days	0.009966	0.000500	0.204672	0.000000
rationalPower1,4,1,1	110	329573348	CMS	hours	months	0.001377	0.000500	0.067367	0.000000
rationalPower1,4,1,1	110	329573348	CMS	days	seconds	3.252236	0.000500	2.000000	0.000000
rationalPower1,4,1,1	110	329573348	CMS	days	minutes	2.191032	0.000500	2.000000	0.000000
rationalPower1,4,1,1	110	329573348	CMS	days	hours	0.327122	0.000500	1.999914	0.000000
rationalPower1,4,1,1	110	329573348	CMS	days	days	0.025560	0.000500	1.180470	0.000000
rationalPower1,4,1,1	110	329573348	CMS	days	months	0.003930	0.001500	0.127005	0.000000
rationalPower1,4,1,1	110	329573348	CMS	months	seconds	4.662214	0.000500	2.000000	0.000000
rationalPower1,4,1,1	110	329573348	CMS	months	minutes	172.004957	0.000500	2.000000	0.000000
rationalPower1,4,1,1	110	329573348	CMS	months	hours	1.033111	0.000500	2.000000	0.000000
rationalPower1,4,1,1	110	329573348	CMS	months	days	0.092431	0.000500	1.999903	0.000000
rationalPower1,4,1,1	110	329573348	CMS	months	months	0.006479	0.000500	0.321285	0.000000
rationalPower1,4,1,1	110	329573348	CMS	years	seconds	0.000105	0.000000	2.000000	0.000000
rationalPower1,4,2,1	179	329573348	CMS	subsecond	seconds	0.267375	0.001000	1.999900	0.000000
rationalPower1,4,2,1	179	329573348	CMS	subsecond	minutes	0.055303	0.000500	0.391981	0.000000
rationalPower1,4,2,1	179	329573348	CMS	subsecond	hours	0.045224	0.000500	0.188843	0.000000
rationalPower1,4,2,1	179	329573348	CMS	subsecond	days	0.013043	0.001500	0.110462	0.000000
rationalPower1,4,2,1	179	329573348	CMS	subsecond	months	0.004338	0.002000	0.062031	0.000000
rationalPower1,4,2,1	179	329573348	CMS	subsecond	years	0.000000	0.002000	0.000024	0.000000
rationalPower1,4,2,1	179	329573348	CMS	seconds	seconds	0.595181	0.000500	1.999900	0.000000
rationalPower1,4,2,1	179	329573348	CMS	seconds	minutes	0.070930	0.000500	0.429192	0.000000
rationalPower1,4,2,1	179	329573348	CMS	seconds	hours	0.013013	0.003999	0.161559	0.000000
rationalPower1,4,2,1	179	329573348	CMS	seconds	days	0.012629	0.001000	0.099809	0.000000
rationalPower1,4,2,1	179	329573348	CMS	seconds	months	0.004354	0.001500	0.061741	0.000000
rationalPower1,4,2,1	179	329573348	CMS	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,2,1	179	329573348	CMS	minutes	seconds	3.044609	0.000500	1.999927	0.000000
rationalPower1,4,2,1	179	329573348	CMS	minutes	minutes	0.258427	0.000500	1.999905	0.000000
rationalPower1,4,2,1	179	329573348	CMS	minutes	hours	0.016213	0.000500	0.252830	0.000000
rationalPower1,4,2,1	179	329573348	CMS	minutes	days	0.012539	0.000500	0.102752	0.000000
rationalPower1,4,2,1	179	329573348	CMS	minutes	months	0.004379	0.001500	0.063217	0.000000
rationalPower1,4,2,1	179	329573348	CMS	hours	seconds	2.728020	0.000500	2.000000	0.000000
rationalPower1,4,2,1	179	329573348	CMS	hours	minutes	0.397527	0.000500	1.999918	0.000000
rationalPower1,4,2,1	179	329573348	CMS	hours	hours	0.047230	0.000500	1.999904	0.000000
rationalPower1,4,2,1	179	329573348	CMS	hours	days	0.007158	0.000500	0.117560	0.000000
rationalPower1,4,2,1	179	329573348	CMS	hours	months	0.004749	0.001500	0.069601	0.000000
rationalPower1,4,2,1	179	329573348	CMS	days	seconds	3.236356	0.000500	2.000000	0.000000
rationalPower1,4,2,1	179	329573348	CMS	days	minutes	2.099435	0.000500	2.000000	0.000000
rationalPower1,4,2,1	179	329573348	CMS	days	hours	0.329314	0.000500	1.999918	0.000000
rationalPower1,4,2,1	179	329573348	CMS	days	days	0.022046	0.000500	0.835259	0.000000
rationalPower1,4,2,1	179	329573348	CMS	days	months	0.002291	0.001500	0.080245	0.000000
rationalPower1,4,2,1	179	329573348	CMS	months	seconds	4.554131	0.000500	2.000000	0.000000
rationalPower1,4,2,1	179	329573348	CMS	months	minutes	166.041990	0.000500	2.000000	0.000000
rationalPower1,4,2,1	179	329573348	CMS	months	hours	0.997340	0.000500	2.000000	0.000000
rationalPower1,4,2,1	179	329573348	CMS	months	days	0.098674	0.000500	1.999904	0.000000
rationalPower1,4,2,1	179	329573348	CMS	months	months	0.017810	0.000500	0.265539	0.000000
rationalPower1,4,2,1	179	329573348	CMS	years	seconds	0.000105	0.000000	2.000000	0.000000
rationalPower1,4,4,1	306	329573348	CMS	subsecond	seconds	0.259177	0.000500	1.999900	0.000000
rationalPower1,4,4,1	306	329573348	CMS	subsecond	minutes	0.039285	0.002000	0.246585	0.000000
rationalPower1,4,4,1	306	329573348	CMS	subsecond	hours	0.029017	0.001000	0.105479	0.000000
rationalPower1,4,4,1	306	329573348	CMS	subsecond	days	0.006842	0.001000	0.051903	0.000000
rationalPower1,4,4,1	306	329573348	CMS	subsecond	months	0.000995	0.001000	0.035412	0.000000
rationalPower1,4,4,1	306	329573348	CMS	subsecond	years	0.000000	0.001000	0.000024	0.000000
rationalPower1,4,4,1	306	329573348	CMS	seconds	seconds	0.496780	0.000500	1.999900	0.000000
rationalPower1,4,4,1	306	329573348	CMS	seconds	minutes	0.044648	0.000500	0.249400	0.000000
rationalPower1,4,4,1	306	329573348	CMS	seconds	hours	0.010384	0.000500	0.101777	0.000000
rationalPower1,4,4,1	306	329573348	CMS	seconds	days	0.003963	0.000500	0.048360	0.000000
rationalPower1,4,4,1	306	329573348	CMS	seconds	months	0.000959	0.001500	0.035204	0.000000
rationalPower1,4,4,1	306	329573348	CMS	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,4,1	306	329573348	CMS	minutes	seconds	2.401584	0.000500	1.999917	0.000000
rationalPower1,4,4,1	306	329573348	CMS	minutes	minutes	0.196998	0.000500	1.999903	0.000000
rationalPower1,4,4,1	306	329573348	CMS	minutes	hours	0.012741	0.000499	0.137067	0.000000
rationalPower1,4,4,1	306	329573348	CMS	minutes	days	0.004424	0.000500	0.055953	0.000000
rationalPower1,4,4,1	306	329573348	CMS	minutes	months	0.000955	0.003000	0.035139	0.000000
rationalPower1,4,4,1	306	329573348	CMS	hours	seconds	2.636642	0.000500	2.000000	0.000000
rationalPower1,4,4,1	306	329573348	CMS	hours	minutes	0.389733	0.000500	1.999913	0.000000
rationalPower1,4,4,1	306	329573348	CMS	hours	hours	0.041326	0.000500	1.004987	0.000000
rationalPower1,4,4,1	306	329573348	CMS	hours	days	0.003939	0.000500	0.073943	0.000000
rationalPower1,4,4,1	306	329573348	CMS	hours	months	0.001697	0.000500	0.039210	0.000000
rationalPower1,4,4,1	306	329573348	CMS	days	seconds	3.270163	0.000500	2.000000	0.000000
rationalPower1,4,4,1	306	329573348	CMS	days	minutes	1.557820	0.000500	2.000000	0.000000
rationalPower1,4,4,1	306	329573348	CMS	days	hours	0.273825	0.000500	1.999907	0.000000
rationalPower1,4,4,1	306	329573348	CMS	days	days	0.013459	0.000500	0.504023	0.000000
rationalPower1,4,4,1	306	329573348	CMS	days	months	0.001941	0.001500	0.049199	0.000000
rationalPower1,4,4,1	306	329573348	CMS	months	seconds	4.456574	0.000500	2.000000	0.000000
rationalPower1,4,4,1	306	329573348	CMS	months	minutes	157.541209	0.000500	2.000000	0.000000
rationalPower1,4,4,1	306	329573348	CMS	months	hours	0.776400	0.000500	2.000000	0.000000
rationalPower1,4,4,1	306	329573348	CMS	months	days	0.039168	0.001000	1.999901	0.000000
rationalPower1,4,4,1	306	329573348	CMS	months	months	0.003499	0.000500	0.221502	0.000000
rationalPower1,4,4,1	306	329573348	CMS	years	seconds	0.000105	0.000000	2.000000	0.000000
rationalPower1,4,8,1	524	329573348	CMS	subsecond	seconds	0.395577	0.001500	1.999900	0.000000
rationalPower1,4,8,1	524	329573348	CMS	subsecond	minutes	0.028680	0.000500	0.226167	0.000000
rationalPower1,4,8,1	524	329573348	CMS	subsecond	hours	0.008992	0.000500	0.057004	0.000000
rationalPower1,4,8,1	524	329573348	CMS	subsecond	days	0.002259	0.001000	0.033316	0.000000
rationalPower1,4,8,1	524	329573348	CMS	subsecond	months	0.000469	0.003000	0.015675	0.000000
rationalPower1,4,8,1	524	329573348	CMS	subsecond	years	0.000000	0.001000	0.000024	0.000000
rationalPower1,4,8,1	524	329573348	CMS	seconds	seconds	0.390830	0.000500	1.999900	0.000000
rationalPower1,4,8,1	524	329573348	CMS	seconds	minutes	0.033303	0.000500	0.162944	0.000000
rationalPower1,4,8,1	524	329573348	CMS	seconds	hours	0.008914	0.000500	0.067005	0.000000
rationalPower1,4,8,1	524	329573348	CMS	seconds	days	0.002369	0.001500	0.033695	0.000000
rationalPower1,4,8,1	524	329573348	CMS	seconds	months	0.000470	0.002000	0.015886	0.000000
rationalPower1,4,8,1	524	329573348	CMS	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,8,1	524	329573348	CMS	minutes	seconds	1.975059	0.000500	1.999900	0.000000
rationalPower1,4,8,1	524	329573348	CMS	minutes	minutes	0.121737	0.000500	1.999901	0.000000
rationalPower1,4,8,1	524	329573348	CMS	minutes	hours	0.009760	0.000500	0.087390	0.000000
rationalPower1,4,8,1	524	329573348	CMS	minutes	days	0.002644	0.001500	0.034822	0.000000
rationalPower1,4,8,1	524	329573348	CMS	minutes	months	0.000521	0.002000	0.015869	0.000000
rationalPower1,4,8,1	524	329573348	CMS	hours	seconds	2.693337	0.000500	2.000000	0.000000
rationalPower1,4,8,1	524	329573348	CMS	hours	minutes	0.416836	0.000500	1.999908	0.000000
rationalPower1,4,8,1	524	329573348	CMS	hours	hours	0.027359	0.000500	0.550418	0.000000
rationalPower1,4,8,1	524	329573348	CMS	hours	days	0.002700	0.002000	0.041983	0.000000
rationalPower1,4,8,1	524	329573348	CMS	hours	months	0.001004	0.001500	0.016055	0.000000
rationalPower1,4,8,1	524	329573348	CMS	days	seconds	3.136205	0.000500	2.000000	0.000000
rationalPower1,4,8,1	524	329573348	CMS	days	minutes	1.318132	0.000500	2.000000	0.000000
rationalPower1,4,8,1	524	329573348	CMS	days	hours	0.180978	0.000500	1.999905	0.000000
rationalPower1,4,8,1	524	329573348	CMS	days	days	0.007970	0.000500	0.279254	0.000000
rationalPower1,4,8,1	524	329573348	CMS	days	months	0.000976	0.001500	0.031369	0.000000
rationalPower1,4,8,1	524	329573348	CMS	months	seconds	4.548304	0.000500	2.000000	0.000000
rationalPower1,4,8,1	524	329573348	CMS	months	minutes	160.015331	0.000500	2.000000	0.000000
rationalPower1,4,8,1	524	329573348	CMS	months	hours	0.961394	0.000000	1.999927	0.000000
rationalPower1,4,8,1	524	329573348	CMS	months	days	0.030907	0.000500	1.595893	0.000000
rationalPower1,4,8,1	524	329573348	CMS	months	months	0.002138	0.000500	0.111037	0.000000
rationalPower1,4,8,1	524	329573348	CMS	years	seconds	0.000106	0.000000	2.000000	0.000000
rationalPower1,4,16,1	897	329573348	CMS	subsecond	seconds	0.337994	0.000500	1.333200	0.000000
rationalPower1,4,16,1	897	329573348	CMS	subsecond	minutes	0.023234	0.003999	0.113220	0.000000
rationalPower1,4,16,1	897	329573348	CMS	subsecond	hours	0.005988	0.001000	0.042421	0.000000
rationalPower1,4,16,1	897	329573348	CMS	subsecond	days	0.001596	0.001000	0.015403	0.000000
rationalPower1,4,16,1	897	329573348	CMS	subsecond	months	0.000681	0.001000	0.010734	0.000000
rationalPower1,4,16,1	897	329573348	CMS	subsecond	years	0.000000	0.002000	0.000023	0.000000
rationalPower1,4,16,1	897	329573348	CMS	seconds	seconds	0.343879	0.000500	1.999900	0.000000
rationalPower1,4,16,1	897	329573348	CMS	seconds	minutes	0.025508	0.000500	0.112480	0.000000
rationalPower1,4,16,1	897	329573348	CMS	seconds	hours	0.007119	0.001500	0.046843	0.000000
rationalPower1,4,16,1	897	329573348	CMS	seconds	days	0.001483	0.002500	0.015966	0.000000
rationalPower1,4,16,1	897	329573348	CMS	seconds	months	0.000697	0.001500	0.010715	0.000000
rationalPower1,4,16,1	897	329573348	CMS	seconds	years	0.000000	0.002000	0.000000	0.000000
rationalPower1,4,16,1	897	329573348	CMS	minutes	seconds	1.708254	0.000500	1.999900	0.000000
rationalPower1,4,16,1	897	329573348	CMS	minutes	minutes	0.098866	0.000500	0.954300	0.000000
rationalPower1,4,16,1	897	329573348	CMS	minutes	hours	0.006972	0.001500	0.058857	0.000000
rationalPower1,4,16,1	897	329573348	CMS	minutes	days	0.001840	0.002000	0.016794	0.000000
rationalPower1,4,16,1	897	329573348	CMS	minutes	months	0.000677	0.003000	0.010787	0.000000
rationalPower1,4,16,1	897	329573348	CMS	hours	seconds	2.437678	0.000500	2.000000	0.000000
rationalPower1,4,16,1	897	329573348	CMS	hours	minutes	0.343663	0.000500	1.999904	0.000000
rationalPower1,4,16,1	897	329573348	CMS	hours	hours	0.017473	0.000500	0.307009	0.000000
rationalPower1,4,16,1	897	329573348	CMS	hours	days	0.001810	0.001500	0.023001	0.000000
rationalPower1,4,16,1	897	329573348	CMS	hours	months	0.000689	0.001500	0.009836	0.000000
rationalPower1,4,16,1	897	329573348	CMS	days	seconds	2.957515	0.000500	2.000000	0.000000
rationalPower1,4,16,1	897	329573348	CMS	days	minutes	2.840924	0.000500	1.999945	0.000000
rationalPower1,4,16,1	897	329573348	CMS	days	hours	0.164593	0.000500	1.999903	0.000000
rationalPower1,4,16,1	897	329573348	CMS	days	days	0.005348	0.000499	0.163502	0.000000
rationalPower1,4,16,1	897	329573348	CMS	days	months	0.000763	0.004500	0.017334	0.000000
rationalPower1,4,16,1	897	329573348	CMS	months	seconds	4.255967	0.000500	2.000000	0.000000
rationalPower1,4,16,1	897	329573348	CMS	months	minutes	140.798025	0.000500	2.000000	0.000000
rationalPower1,4,16,1	897	329573348	CMS	months	hours	0.690780	0.000500	1.999928	0.000000
rationalPower1,4,16,1	897	329573348	CMS	months	days	0.027699	0.000500	1.168473	0.000000
rationalPower1,4,16,1	897	329573348	CMS	months	months	0.003774	0.001000	0.073800	0.000000
rationalPower1,4,16,1	897	329573348	CMS	years	seconds	0.000104	0.000000	2.000000	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	subsecond	seconds	0.244931	0.000000	0.833300	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	subsecond	minutes	0.033308	0.000500	0.174586	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	subsecond	hours	0.007919	0.004000	0.043261	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	subsecond	days	0.001651	0.014998	0.012524	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	subsecond	months	0.000339	0.002000	0.004128	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	subsecond	years	0.000000	0.001000	0.000023	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	seconds	seconds	0.388762	0.000500	1.999900	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	seconds	minutes	0.032408	0.000500	0.144545	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	seconds	hours	0.003328	0.001500	0.038406	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	seconds	days	0.000945	0.001499	0.012657	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	seconds	months	0.000341	0.004499	0.004098	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	seconds	years	0.000000	0.006000	0.000000	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	minutes	seconds	1.798777	0.000500	1.999900	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	minutes	minutes	0.117556	0.000500	1.100973	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	minutes	hours	0.007709	0.001500	0.063731	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	minutes	days	0.000988	0.001499	0.013141	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	minutes	months	0.000378	0.001500	0.004090	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	hours	seconds	2.347114	0.000500	2.000000	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	hours	minutes	0.310069	0.000500	1.999904	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	hours	hours	0.012336	0.000500	0.309863	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	hours	days	0.001358	0.001500	0.019496	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	hours	months	0.000499	0.004499	0.005443	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	days	seconds	2.563566	0.000500	2.000000	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	days	minutes	2.334166	0.000500	1.999946	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	days	hours	0.106575	0.000500	1.999902	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	days	days	0.003474	0.001500	0.095743	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	days	months	0.000411	0.001499	0.008877	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	months	seconds	3.986412	0.000500	2.000000	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	months	minutes	117.614099	0.000500	2.000000	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	months	hours	0.447866	0.000500	1.999911	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	months	days	0.013706	0.000500	0.498990	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	months	months	0.001479	0.003999	0.032590	0.000000
rationalPower1,2,1,1	1456	329573348	CMS	years	seconds	0.000102	0.000000	2.000000	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	subsecond	seconds	0.211784	0.000000	1.499900	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	subsecond	minutes	0.016217	0.001500	0.092629	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	subsecond	hours	0.006777	0.008499	0.029671	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	subsecond	days	0.000518	0.015998	0.008824	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	subsecond	months	0.000279	0.002000	0.006073	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	subsecond	years	0.000000	0.002000	0.000024	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	seconds	seconds	0.256690	0.000500	1.999900	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	seconds	minutes	0.020185	0.000500	0.073800	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	seconds	hours	0.006058	0.008000	0.025702	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	seconds	days	0.000609	0.001500	0.008973	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	seconds	months	0.000244	0.001500	0.005983	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	seconds	years	0.000000	0.015000	0.000000	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	minutes	seconds	1.238495	0.000500	1.999900	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	minutes	minutes	0.071696	0.000500	0.572800	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	minutes	hours	0.005395	0.004000	0.034644	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	minutes	days	0.000738	0.001499	0.009276	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	minutes	months	0.000239	0.001500	0.006138	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	hours	seconds	2.145245	0.000500	2.000000	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	hours	minutes	0.277074	0.000500	1.999902	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	hours	hours	0.014782	0.000500	0.186071	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	hours	days	0.001351	0.001000	0.012984	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	hours	months	0.000309	0.003000	0.006080	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	days	seconds	2.612280	0.000500	2.000000	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	days	minutes	2.561967	0.000500	1.999922	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	days	hours	0.107834	0.000500	1.999902	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	days	days	0.002556	0.001000	0.102026	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	days	months	0.000393	0.008000	0.009526	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	months	seconds	4.329091	0.000500	2.000000	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	months	minutes	134.957878	0.000500	2.000000	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	months	hours	0.665342	0.000500	1.999913	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	months	days	0.014088	0.000500	0.704761	0.000000
rationalPower1,4,32,1	1539	329573348	CMS	months	months	0.000811	0.008499	0.053221	0.000000
