#length	true answer	estimate	CI left	CI right
1	1	0.008790	0.000000	0.191618
145	1	1.274550	0.000000	3.465177
289	2	2.540310	0.000000	5.617494
433	3	3.806071	0.058528	7.553613
577	3	5.071831	0.767892	9.375769
721	4	6.337591	1.551309	11.123873
865	8	7.603351	2.388190	12.818512
1009	8	8.869111	3.266246	14.471977
1153	11	10.134872	4.177430	16.092313
1297	13	11.400632	5.116135	17.685129
1441	15	12.666392	6.078259	19.254525
1585	16	13.932152	7.060697	20.803607
1729	17	15.197912	8.061030	22.334794
1873	17	16.463673	9.077329	23.850016
2017	17	17.729433	10.108025	25.350841
2161	17	18.995193	11.151824	26.838562
2305	18	20.260953	12.207642	28.314264
2449	22	21.526713	13.274562	29.778865
2593	22	22.792474	14.351800	31.233147
2737	24	24.058234	15.438678	32.677790
2881	24	25.323994	16.534607	34.113381
3025	25	26.589754	17.639074	35.540435
3169	27	27.855514	18.751622	36.959406
3313	28	29.121275	19.871852	38.370697
3457	28	30.387035	20.999406	39.774663
3601	28	31.652795	22.133965	41.171625
3745	30	32.918555	23.275242	42.561868
3889	30	34.184315	24.422982	43.945649
4033	32	35.450076	25.576951	45.323200
4177	34	36.715836	26.736942	46.694730
4321	35	37.981596	27.902763	48.060429
4465	36	39.247356	29.074244	49.420468
4609	37	40.513116	30.251228	50.775005
4753	38	41.778877	31.433574	52.124179
4897	41	43.044637	32.621153	53.468121
5041	42	44.310397	33.813847	54.806946
5185	42	45.576157	35.011552	56.140762
5329	43	46.841917	36.214170	57.469664
5473	44	48.107678	37.421615	58.793740
5617	45	49.373438	38.633808	60.113067
5761	45	50.639198	39.850678	61.427718
5905	45	51.904958	41.072162	62.737755
6049	46	53.170718	42.298203	64.043234
6193	49	54.436479	43.528752	65.344205
6337	49	55.702239	44.763765	66.640713
6481	51	56.967999	46.003205	67.932793
6625	53	58.233759	47.247039	69.220479
6769	56	59.499519	48.495242	70.503796
6913	56	60.765279	49.747793	71.782766
7057	56	62.031040	51.004676	73.057404
7201	60	63.296800	52.265880	74.327720
7345	62	64.562560	53.531400	75.593720
7489	66	65.828320	54.801237	76.855404
7633	67	67.094080	56.075394	78.112767
7777	69	68.359841	57.353881	79.365800
7921	69	69.625601	58.636715	80.614487
8065	70	70.891361	59.923914	81.858808
8209	74	72.157121	61.215505	83.098738
8353	76	73.422881	62.511519	84.334244
8497	78	74.688642	63.811992	85.565291
8641	78	75.954402	65.116968	86.791836
8785	79	77.220162	66.426496	88.013828
8929	79	78.485922	67.740631	89.231214
9073	81	79.751682	69.059435	90.443930
9217	81	81.017443	70.382979	91.651906
9361	84	82.283203	71.711341	92.855065
9505	85	83.548963	73.044606	94.053320
9649	86	84.814723	74.382870	95.246576
9793	87	86.080483	75.726238	96.434729
9937	88	87.346244	77.074825	97.617662
10081	88	88.612004	78.428759	98.795249
10225	90	89.877764	79.788179	99.967349
10369	92	91.143524	81.153241	101.133807
10513	94	92.409284	82.524114	102.294454
10657	95	93.675045	83.900986	103.449103
10801	98	94.940805	85.284064	104.597546
10945	100	96.206565	86.673577	105.739553
11089	102	97.472325	88.069778	106.874872
11233	103	98.738085	89.472952	108.003219
11377	105	100.003846	90.883411	109.124280
11521	106	101.269606	92.301510	110.237701
11665	107	102.535366	93.727645	111.343087
11809	107	103.801126	95.162263	112.439989
11953	107	105.066886	96.605872	113.527901
12097	108	106.332647	98.059052	114.606241
12241	108	107.598407	99.522469	115.674344
12385	108	108.864167	100.996895	116.731439
12529	110	110.129927	102.483231	117.776623
12673	114	111.395687	103.982540	118.808835
12817	114	112.661448	105.496091	119.826805
12961	116	113.927208	107.025416	120.828999
13105	118	115.192968	108.572401	121.813535
13249	118	116.458728	110.139401	122.778055
13393	119	117.724488	111.729434	123.719543
13537	122	118.990249	113.346469	124.634029
13681	123	120.256009	114.995911	125.516106
13825	124	121.521769	116.685469	126.358069
13969	124	122.787529	118.426822	127.148236
14113	124	124.053289	120.239297	127.867281
14257	125	125.319050	122.159604	128.000000
14401	127	126.584810	124.277764	128.000000
14406	128	126.628760	124.357426	128.000000
