#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p99	ci-width:p99	ci-miss-rate
exponential2	43	313814094	BF	subsecond	seconds	0.084746	0.010000	0.397464	0.000000
exponential2	43	313814094	BF	subsecond	minutes	0.000000	0.098995	0.404583	0.000000
exponential2	43	313814094	BF	subsecond	hours	0.000000	0.100995	0.421764	0.000000
exponential2	43	313814094	BF	subsecond	days	0.000000	0.001000	0.410500	0.000000
exponential2	43	313814094	BF	subsecond	months	0.000000	0.000000	0.430391	0.000000
exponential2	43	313814094	BF	subsecond	years	0.000000	0.043000	0.010000	0.000000
exponential2	43	313814094	BF	seconds	seconds	0.115771	0.003500	0.987112	0.000000
exponential2	43	313814094	BF	seconds	minutes	0.000287	0.004500	0.440911	0.000000
exponential2	43	313814094	BF	seconds	hours	0.000000	0.007495	0.421673	0.000000
exponential2	43	313814094	BF	seconds	days	0.000000	0.005495	0.410500	0.000000
exponential2	43	313814094	BF	seconds	months	0.000000	0.005489	0.430391	0.000000
exponential2	43	313814094	BF	seconds	years	0.000000	0.042000	0.010000	0.000000
exponential2	43	313814094	BF	minutes	seconds	0.174088	0.005494	0.999970	0.000000
exponential2	43	313814094	BF	minutes	minutes	0.000000	0.004494	0.929435	0.000000
exponential2	43	313814094	BF	minutes	hours	0.000000	0.008496	0.490330	0.000000
exponential2	43	313814094	BF	minutes	days	0.000000	0.006494	0.410318	0.000000
exponential2	43	313814094	BF	minutes	months	0.000000	0.006498	0.430390	0.000000
exponential2	43	313814094	BF	hours	seconds	0.179808	0.007497	0.999998	0.000000
exponential2	43	313814094	BF	hours	minutes	0.000000	0.004493	0.997744	0.000000
exponential2	43	313814094	BF	hours	hours	0.000000	0.004499	0.909847	0.000000
exponential2	43	313814094	BF	hours	days	0.000000	0.011499	0.565283	0.000000
exponential2	43	313814094	BF	hours	months	0.000000	0.061494	0.430257	0.000000
exponential2	43	313814094	BF	days	seconds	0.171245	0.008496	1.000000	0.000000
exponential2	43	313814094	BF	days	minutes	0.000000	0.004498	0.999891	0.000000
exponential2	43	313814094	BF	days	hours	0.000000	0.003500	0.995730	0.000000
exponential2	43	313814094	BF	days	days	0.000000	0.003500	0.915421	0.000000
exponential2	43	313814094	BF	days	months	0.000000	0.010495	0.592296	0.000000
exponential2	43	313814094	BF	months	seconds	0.177196	0.003500	1.000000	0.000000
exponential2	43	313814094	BF	months	minutes	0.000000	0.004500	0.999993	0.000000
exponential2	43	313814094	BF	months	hours	0.000000	0.007497	0.999731	0.000000
exponential2	43	313814094	BF	months	days	0.000000	0.014997	0.993622	0.000000
exponential2	43	313814094	BF	months	months	0.000000	0.053997	0.873131	0.000000
exponential2	43	313814094	BF	years	seconds	1.000000	0.100000	1.000000	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	seconds	0.033898	0.001000	0.551174	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	minutes	0.000000	0.001000	0.365690	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	hours	0.000000	0.000000	0.212875	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	days	0.000000	0.001000	0.112055	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	months	0.000000	0.001000	0.069142	0.000000
rationalPower1,4,1,1	107	313814094	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	seconds	0.137891	0.001500	0.999911	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	minutes	0.000000	0.001500	0.428937	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	hours	0.000000	0.001500	0.212604	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	days	0.000000	0.002000	0.112055	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	months	0.000000	0.001500	0.069142	0.000000
rationalPower1,4,1,1	107	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,1,1	107	313814094	BF	minutes	seconds	0.173801	0.001500	0.999949	0.000000
rationalPower1,4,1,1	107	313814094	BF	minutes	minutes	0.000000	0.001500	0.923138	0.000000
rationalPower1,4,1,1	107	313814094	BF	minutes	hours	0.000000	0.001500	0.302254	0.000000
rationalPower1,4,1,1	107	313814094	BF	minutes	days	0.000000	0.001500	0.119743	0.000000
rationalPower1,4,1,1	107	313814094	BF	minutes	months	0.000000	0.002000	0.069116	0.000000
rationalPower1,4,1,1	107	313814094	BF	hours	seconds	0.179808	0.001500	0.999996	0.000000
rationalPower1,4,1,1	107	313814094	BF	hours	minutes	0.000000	0.001500	0.990554	0.000000
rationalPower1,4,1,1	107	313814094	BF	hours	hours	0.000000	0.001500	0.712636	0.000000
rationalPower1,4,1,1	107	313814094	BF	hours	days	0.000000	0.001500	0.203474	0.000000
rationalPower1,4,1,1	107	313814094	BF	hours	months	0.000000	0.001500	0.068413	0.000000
rationalPower1,4,1,1	107	313814094	BF	days	seconds	0.171245	0.001500	1.000000	0.000000
rationalPower1,4,1,1	107	313814094	BF	days	minutes	0.000000	0.001500	0.999540	0.000000
rationalPower1,4,1,1	107	313814094	BF	days	hours	0.000000	0.001500	0.984874	0.000000
rationalPower1,4,1,1	107	313814094	BF	days	days	0.000000	0.001500	0.517656	0.000000
rationalPower1,4,1,1	107	313814094	BF	days	months	0.000000	0.001500	0.148237	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	seconds	0.177196	0.001000	1.000000	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	minutes	0.000000	0.001500	0.999937	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	hours	0.000000	0.001500	0.997465	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	days	0.000000	0.001500	0.939646	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	months	0.000000	0.002000	0.396718	0.000000
rationalPower1,4,1,1	107	313814094	BF	years	seconds	1.000000	0.001000	1.000000	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	seconds	0.033898	0.001000	0.468966	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	minutes	0.000000	0.000000	0.258233	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	hours	0.000000	0.001000	0.155752	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	days	0.000000	0.001000	0.069398	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	months	0.000000	0.000000	0.039285	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	seconds	0.137604	0.001496	0.999812	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	minutes	0.000287	0.001992	0.381009	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	hours	0.000000	0.001000	0.154264	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	days	0.000000	0.001500	0.069391	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	months	0.000000	0.002500	0.039285	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	seconds	0.173226	0.001496	0.999949	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	minutes	0.000000	0.001496	0.848638	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	hours	0.000000	0.001500	0.195548	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	days	0.000000	0.002000	0.068917	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	months	0.000000	0.080488	0.039228	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	seconds	0.179808	0.001496	0.999996	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	minutes	0.000000	0.001496	0.988484	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	hours	0.000000	0.001500	0.678913	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	days	0.000000	0.001000	0.134234	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	months	0.000000	0.001500	0.048460	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	seconds	0.171245	0.001992	1.000000	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	minutes	0.000000	0.001496	0.999077	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	hours	0.000000	0.002496	0.969517	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	days	0.000000	0.001500	0.536080	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	months	0.000000	0.001500	0.075403	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	seconds	0.177196	0.001000	1.000000	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	minutes	0.000000	0.000500	0.999878	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	hours	0.000000	0.001500	0.995133	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	days	0.000000	0.001500	0.912966	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	months	0.000000	0.004000	0.307589	0.000000
rationalPower1,4,2,1	174	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	seconds	0.067797	0.000000	0.640268	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	minutes	0.000000	0.000000	0.261149	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	hours	0.000000	0.001000	0.074257	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	days	0.000000	0.003000	0.075115	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	months	0.000000	0.000000	0.036018	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	seconds	0.114335	0.001500	0.999811	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	minutes	0.000287	0.001500	0.249366	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	hours	0.000000	0.002500	0.074127	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	days	0.000000	0.001500	0.075004	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	months	0.000000	0.002500	0.036018	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	seconds	0.173513	0.000500	0.999947	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	minutes	0.000000	0.001500	0.844767	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	hours	0.000000	0.002500	0.121026	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	days	0.000000	0.002500	0.065338	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	months	0.000000	0.001500	0.035887	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	seconds	0.179808	0.002500	0.999992	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	minutes	0.000000	0.002500	0.980874	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	hours	0.000000	0.003000	0.615326	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	days	0.000000	0.002000	0.082381	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	months	0.000000	0.002500	0.044144	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	seconds	0.171245	0.001500	0.999999	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	minutes	0.000000	0.001500	0.998660	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	hours	0.000000	0.002000	0.931909	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	days	0.000000	0.002000	0.427847	0.000000
rationalPower1,4,4,1	302	313814094	BF	days	months	0.000000	0.003000	0.051539	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	seconds	0.177196	0.002000	1.000000	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	minutes	0.000000	0.002500	0.999779	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	hours	0.000000	0.003500	0.993283	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	days	0.000000	0.002000	0.839661	0.000000
rationalPower1,4,4,1	302	313814094	BF	months	months	0.000000	0.003000	0.198311	0.000000
rationalPower1,4,4,1	302	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	seconds	0.050847	0.000000	0.652151	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	minutes	0.000000	0.002000	0.094071	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	hours	0.000000	0.000000	0.046217	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	days	0.000000	0.000000	0.030483	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	months	0.000000	0.000000	0.026241	0.000000
rationalPower1,4,8,1	521	313814094	BF	subsecond	years	0.000000	0.002000	0.010000	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	seconds	0.083022	0.000500	0.894912	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	minutes	0.000287	0.000500	0.197080	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	hours	0.000000	0.001500	0.044587	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	days	0.000000	0.000500	0.030431	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	months	0.000000	0.001500	0.026239	0.000000
rationalPower1,4,8,1	521	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	seconds	0.171502	0.000500	0.999945	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	minutes	0.000000	0.000500	0.695753	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	hours	0.000000	0.001500	0.098820	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	days	0.000000	0.000500	0.042044	0.000000
rationalPower1,4,8,1	521	313814094	BF	minutes	months	0.000000	0.002000	0.026106	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	seconds	0.179808	0.001500	0.999984	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	minutes	0.000000	0.000500	0.962002	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	hours	0.000000	0.000500	0.423712	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	days	0.000000	0.001500	0.047207	0.000000
rationalPower1,4,8,1	521	313814094	BF	hours	months	0.000000	0.001500	0.025934	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	seconds	0.171245	0.000500	0.999999	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	minutes	0.000000	0.000500	0.997699	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	hours	0.000000	0.001500	0.916736	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	days	0.000000	0.001500	0.306187	0.000000
rationalPower1,4,8,1	521	313814094	BF	days	months	0.000000	0.001500	0.040848	0.000000
rationalPower1,4,8,1	521	313814094	BF	months	seconds	0.177196	0.003500	1.000000	0.000000
