#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
exponential2	43	313814094	CMS	subsecond	seconds	4.183571	0.002500	0.973400	0.000000
exponential2	43	313814094	CMS	subsecond	minutes	5.976009	0.004000	0.175437	0.000000
exponential2	43	313814094	CMS	subsecond	hours	5.061904	0.041495	0.029512	0.000000
exponential2	43	313814094	CMS	subsecond	days	5.021669	0.006000	0.004191	0.000000
exponential2	43	313814094	CMS	subsecond	months	5.000126	0.002000	0.000924	0.000000
exponential2	43	313814094	CMS	subsecond	years	3.997742	0.082000	0.000000	0.000000
exponential2	43	313814094	CMS	seconds	seconds	6.090938	0.001500	1.999900	0.000000
exponential2	43	313814094	CMS	seconds	minutes	5.186568	0.001499	0.130542	0.000000
exponential2	43	313814094	CMS	seconds	hours	5.049289	0.001500	0.028774	0.000000
exponential2	43	313814094	CMS	seconds	days	5.005699	0.001500	0.004555	0.000000
exponential2	43	313814094	CMS	seconds	months	5.001662	0.001499	0.000925	0.000000
exponential2	43	313814094	CMS	seconds	years	4.997220	0.001000	0.000000	0.000000
exponential2	43	313814094	CMS	minutes	seconds	7.823605	0.001499	1.999917	0.000000
exponential2	43	313814094	CMS	minutes	minutes	5.201932	0.001499	0.347209	0.000000
exponential2	43	313814094	CMS	minutes	hours	5.052529	0.001494	0.025945	0.000000
exponential2	43	313814094	CMS	minutes	days	5.006899	0.001500	0.004739	0.000000
exponential2	43	313814094	CMS	minutes	months	5.001492	0.004494	0.000925	0.000000
exponential2	43	313814094	CMS	hours	seconds	7.876751	0.002495	1.999932	0.000000
exponential2	43	313814094	CMS	hours	minutes	5.572827	0.001494	0.411790	0.000000
exponential2	43	313814094	CMS	hours	hours	5.122829	0.002494	0.062708	0.000000
exponential2	43	313814094	CMS	hours	days	5.008840	0.002495	0.005144	0.000000
exponential2	43	313814094	CMS	hours	months	5.002814	0.003492	0.000967	0.000000
exponential2	43	313814094	CMS	days	seconds	8.770897	0.001494	1.999932	0.000000
exponential2	43	313814094	CMS	days	minutes	5.509527	0.001494	0.413564	0.000000
exponential2	43	313814094	CMS	days	hours	5.065720	0.002500	0.083184	0.000000
exponential2	43	313814094	CMS	days	days	5.011579	0.001498	0.011781	0.000000
exponential2	43	313814094	CMS	days	months	5.003733	0.003494	0.001309	0.000000
