#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
exponential2	43	313814094	CMS	subsecond	seconds	0.402249	0.003500	0.992700	0.000000
exponential2	43	313814094	CMS	subsecond	minutes	0.086358	0.003000	0.346585	0.000000
exponential2	43	313814094	CMS	subsecond	hours	0.010122	0.075493	0.057149	0.000000
exponential2	43	313814094	CMS	subsecond	days	0.002674	0.008499	0.010272	0.000000
exponential2	43	313814094	CMS	subsecond	months	0.000327	0.003000	0.002067	0.000000
exponential2	43	313814094	CMS	subsecond	years	0.000000	0.095000	0.000000	0.000000
exponential2	43	313814094	CMS	seconds	seconds	0.606338	0.001498	1.999900	0.000000
exponential2	43	313814094	CMS	seconds	minutes	0.064451	0.001495	0.254189	0.000000
exponential2	43	313814094	CMS	seconds	hours	0.013068	0.001499	0.048349	0.000000
exponential2	43	313814094	CMS	seconds	days	0.002279	0.001499	0.009307	0.000000
exponential2	43	313814094	CMS	seconds	months	0.000669	0.002496	0.002068	0.000000
exponential2	43	313814094	CMS	seconds	years	0.000000	0.000000	0.000000	0.000000
exponential2	43	313814094	CMS	minutes	seconds	1.376307	0.001500	1.999925	0.000000
exponential2	43	313814094	CMS	minutes	minutes	0.153153	0.001492	0.723762	0.000000
exponential2	43	313814094	CMS	minutes	hours	0.013322	0.001497	0.050621	0.000000
exponential2	43	313814094	CMS	minutes	days	0.002371	0.001495	0.010913	0.000000
exponential2	43	313814094	CMS	minutes	months	0.000606	0.003497	0.002064	0.000000
exponential2	43	313814094	CMS	hours	seconds	1.407420	0.001499	1.999977	0.000000
exponential2	43	313814094	CMS	hours	minutes	0.209321	0.001499	0.908493	0.000000
exponential2	43	313814094	CMS	hours	hours	0.031620	0.002487	0.131407	0.000000
exponential2	43	313814094	CMS	hours	days	0.002469	0.001495	0.011310	0.000000
exponential2	43	313814094	CMS	hours	months	0.000643	0.009479	0.002003	0.000000
exponential2	43	313814094	CMS	days	seconds	1.590525	0.001496	1.999981	0.000000
exponential2	43	313814094	CMS	days	minutes	0.215669	0.001500	0.922447	0.000000
exponential2	43	313814094	CMS	days	hours	0.043304	0.001500	0.145380	0.000000
exponential2	43	313814094	CMS	days	days	0.005802	0.001500	0.026476	0.000000
exponential2	43	313814094	CMS	days	months	0.000773	0.002494	0.002938	0.000000
exponential2	43	313814094	CMS	months	seconds	1.438841	0.001499	1.999981	0.000000
exponential2	43	313814094	CMS	months	minutes	0.215417	0.001500	0.923510	0.000000
exponential2	43	313814094	CMS	months	hours	0.041131	0.001499	0.145721	0.000000
exponential2	43	313814094	CMS	months	days	0.007962	0.001500	0.029543	0.000000
exponential2	43	313814094	CMS	months	months	0.001914	0.000500	0.006901	0.000000
exponential2	43	313814094	CMS	years	seconds	0.000100	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	seconds	0.535326	0.000000	1.999900	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	minutes	0.085719	0.000500	0.251704	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	hours	0.010648	0.001500	0.035583	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	days	0.001471	0.001000	0.005212	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	months	0.000216	0.001000	0.000979	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	seconds	0.679948	0.000500	1.999900	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	minutes	0.062768	0.000500	0.248812	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	hours	0.007222	0.000500	0.023668	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	days	0.001140	0.000500	0.004034	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	months	0.000279	0.001500	0.000978	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	seconds	1.377432	0.000500	1.999920	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	minutes	0.143709	0.000500	0.678440	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	hours	0.009292	0.000500	0.037151	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	days	0.001078	0.000500	0.003637	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	months	0.000269	0.002500	0.000983	0.000000
rationalPower1,4,1,1	107	313814094	CMS	hours	seconds	1.454020	0.000500	1.999974	0.000000
rationalPower1,4,1,1	107	313814094	CMS	hours	minutes	0.203260	0.000500	0.885551	0.000000
rationalPower1,4,1,1	107	313814094	CMS	hours	hours	0.022608	0.000500	0.095564	0.000000
rationalPower1,4,1,1	107	313814094	CMS	hours	days	0.001191	0.001500	0.005708	0.000000
rationalPower1,4,1,1	107	313814094	CMS	hours	months	0.000272	0.001500	0.000975	0.000000
rationalPower1,4,1,1	107	313814094	CMS	days	seconds	1.595005	0.000500	1.999980	0.000000
rationalPower1,4,1,1	107	313814094	CMS	days	minutes	0.212097	0.000500	0.915789	0.000000
rationalPower1,4,1,1	107	313814094	CMS	days	hours	0.039835	0.000500	0.143185	0.000000
rationalPower1,4,1,1	107	313814094	CMS	days	days	0.002979	0.000500	0.012876	0.000000
rationalPower1,4,1,1	107	313814094	CMS	days	months	0.000349	0.000500	0.001175	0.000000
