#decay	# windows in store	# elements in stream	query	age class	length class	error:p99	latency:p99	ci-width:p99	ci-miss-rate
exponential2	43	313814094	CMS	subsecond	seconds	0.767979	0.019999	1.999900	0.000000
exponential2	43	313814094	CMS	subsecond	minutes	0.164390	0.009000	0.816992	0.000000
exponential2	43	313814094	CMS	subsecond	hours	0.011958	0.075996	0.069634	0.000000
exponential2	43	313814094	CMS	subsecond	days	0.003951	0.005000	0.011219	0.000000
exponential2	43	313814094	CMS	subsecond	months	0.000327	0.077996	0.002067	0.000000
exponential2	43	313814094	CMS	subsecond	years	0.000000	0.081000	0.000000	0.000000
exponential2	43	313814094	CMS	seconds	seconds	1.259142	0.003500	1.999900	0.000000
exponential2	43	313814094	CMS	seconds	minutes	0.134246	0.004494	0.589361	0.000000
exponential2	43	313814094	CMS	seconds	hours	0.021401	0.004500	0.071976	0.000000
exponential2	43	313814094	CMS	seconds	days	0.004381	0.005500	0.011230	0.000000
exponential2	43	313814094	CMS	seconds	months	0.001225	0.008497	0.002071	0.000000
exponential2	43	313814094	CMS	seconds	years	0.000000	0.000000	0.000000	0.000000
exponential2	43	313814094	CMS	minutes	seconds	2.783277	0.003500	1.999925	0.000000
exponential2	43	313814094	CMS	minutes	minutes	0.367210	0.004500	1.536022	0.000000
exponential2	43	313814094	CMS	minutes	hours	0.025795	0.004500	0.083019	0.000000
exponential2	43	313814094	CMS	minutes	days	0.004707	0.003500	0.011468	0.000000
exponential2	43	313814094	CMS	minutes	months	0.000986	0.014998	0.002071	0.000000
exponential2	43	313814094	CMS	hours	seconds	2.613078	0.010495	1.999977	0.000000
exponential2	43	313814094	CMS	hours	minutes	0.447439	0.006498	1.599802	0.000000
exponential2	43	313814094	CMS	hours	hours	0.056081	0.008500	0.193619	0.000000
exponential2	43	313814094	CMS	hours	days	0.005484	0.008497	0.019243	0.000000
exponential2	43	313814094	CMS	hours	months	0.000987	0.036499	0.002059	0.000000
exponential2	43	313814094	CMS	days	seconds	2.727605	0.008494	1.999981	0.000000
exponential2	43	313814094	CMS	days	minutes	0.432717	0.008496	1.609649	0.000000
exponential2	43	313814094	CMS	days	hours	0.088360	0.007497	0.205893	0.000000
exponential2	43	313814094	CMS	days	days	0.012413	0.006496	0.039824	0.000000
exponential2	43	313814094	CMS	days	months	0.001360	0.017997	0.003489	0.000000
exponential2	43	313814094	CMS	months	seconds	2.887857	0.014996	1.999981	0.000000
exponential2	43	313814094	CMS	months	minutes	0.440601	0.011496	1.609472	0.000000
exponential2	43	313814094	CMS	months	hours	0.083047	0.069999	0.206243	0.000000
exponential2	43	313814094	CMS	months	days	0.014507	0.079499	0.041921	0.000000
exponential2	43	313814094	CMS	months	months	0.004518	0.078996	0.006903	0.000000
exponential2	43	313814094	CMS	years	seconds	0.000100	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	seconds	0.883259	0.001000	1.999900	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	minutes	0.190753	0.001000	0.304730	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	hours	0.013243	0.003000	0.050169	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	days	0.001719	0.002000	0.006418	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	months	0.000216	0.000000	0.000979	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	seconds	1.310245	0.001500	1.999900	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	minutes	0.120583	0.001500	0.568007	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	hours	0.011178	0.001500	0.049446	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	days	0.002203	0.001500	0.006442	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	months	0.000621	0.001500	0.000982	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	seconds	2.656616	0.001500	1.999920	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	minutes	0.367586	0.001500	1.500693	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	hours	0.019579	0.001500	0.073119	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	days	0.001721	0.001500	0.005279	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	months	0.000398	0.001500	0.000990	0.000000
rationalPower1,4,1,1	107	313814094	CMS	hours	seconds	2.700180	0.001500	1.999974	0.000000
rationalPower1,4,1,1	107	313814094	CMS	hours	minutes	0.447852	0.001500	1.596808	0.000000
rationalPower1,4,1,1	107	313814094	CMS	hours	hours	0.055059	0.002000	0.176459	0.000000
rationalPower1,4,1,1	107	313814094	CMS	hours	days	0.003655	0.001500	0.012116	0.000000
rationalPower1,4,1,1	107	313814094	CMS	hours	months	0.000608	0.001500	0.001009	0.000000
rationalPower1,4,1,1	107	313814094	CMS	days	seconds	2.720217	0.001500	1.999980	0.000000
rationalPower1,4,1,1	107	313814094	CMS	days	minutes	0.434590	0.001500	1.606335	0.000000
rationalPower1,4,1,1	107	313814094	CMS	days	hours	0.095955	0.001500	0.203915	0.000000
rationalPower1,4,1,1	107	313814094	CMS	days	days	0.009547	0.001500	0.030192	0.000000
rationalPower1,4,1,1	107	313814094	CMS	days	months	0.000479	0.001500	0.001646	0.000000
rationalPower1,4,1,1	107	313814094	CMS	months	seconds	2.891225	0.001000	1.999981	0.000000
rationalPower1,4,1,1	107	313814094	CMS	months	minutes	0.443122	0.001500	1.609353	0.000000
rationalPower1,4,1,1	107	313814094	CMS	months	hours	0.085352	0.002000	0.205883	0.000000
rationalPower1,4,1,1	107	313814094	CMS	months	days	0.016496	0.001500	0.040735	0.000000
rationalPower1,4,1,1	107	313814094	CMS	months	months	0.000496	0.001000	0.003469	0.000000
rationalPower1,4,1,1	107	313814094	CMS	years	seconds	0.000099	0.000000	2.000000	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	seconds	0.638210	0.001000	1.999900	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	minutes	0.104052	0.000000	0.333547	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	hours	0.012445	0.001000	0.039208	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	days	0.001101	0.000000	0.007386	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	months	0.000173	0.000000	0.000531	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	seconds	1.303882	0.000500	1.999900	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	minutes	0.124227	0.000500	0.582481	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	hours	0.011796	0.001500	0.042432	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	days	0.002363	0.004500	0.007391	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	months	0.000273	0.001500	0.000537	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	CMS	minutes	seconds	2.723624	0.000500	1.999904	0.000000
rationalPower1,4,2,1	174	313814094	CMS	minutes	minutes	0.331560	0.000500	1.412407	0.000000
rationalPower1,4,2,1	174	313814094	CMS	minutes	hours	0.015146	0.000500	0.051475	0.000000
rationalPower1,4,2,1	174	313814094	CMS	minutes	days	0.002017	0.005500	0.007132	0.000000
