#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
exponential2	39	86723289	Q7	subsecond	day	0.025350	0.093000	0.000019	0.000000
exponential2	39	86723289	Q7	seconds	day	0.002529	0.087993	0.000020	0.000000
exponential2	39	86723289	Q7	minutes	day	0.018844	0.089994	0.000020	0.000000
exponential2	39	86723289	Q7	hours	day	0.020883	0.091995	0.000024	0.000000
exponential2	39	86723289	Q7	days	day	0.016469	0.092994	0.000035	0.000000
exponential2	39	86723289	Q7	months	day	0.008936	0.088996	0.000036	0.000000
rationalPower1,4,1,1	83	86723289	Q7	subsecond	day	0.016516	0.001000	0.000017	0.000000
rationalPower1,4,1,1	83	86723289	Q7	seconds	day	0.023180	0.001000	0.000018	0.000000
rationalPower1,4,1,1	83	86723289	Q7	minutes	day	0.022314	0.002000	0.000018	0.000000
rationalPower1,4,1,1	83	86723289	Q7	hours	day	0.017922	0.001000	0.000022	0.000000
rationalPower1,4,1,1	83	86723289	Q7	days	day	0.021093	0.002500	0.000034	0.000000
rationalPower1,4,1,1	83	86723289	Q7	months	day	0.008440	0.001000	0.000035	0.000000
rationalPower1,4,2,1	133	86723289	Q7	subsecond	day	0.030635	0.000000	0.000014	0.000000
rationalPower1,4,2,1	133	86723289	Q7	seconds	day	0.002033	0.002500	0.000015	0.000000
rationalPower1,4,2,1	133	86723289	Q7	minutes	day	0.030905	0.001500	0.000015	0.000000
rationalPower1,4,2,1	133	86723289	Q7	hours	day	0.032691	0.001500	0.000020	0.000000
rationalPower1,4,2,1	133	86723289	Q7	days	day	0.024990	0.000500	0.000033	0.000000
rationalPower1,4,2,1	133	86723289	Q7	months	day	0.008949	0.002000	0.000035	0.000000
rationalPower1,4,4,1	231	86723289	Q7	subsecond	day	0.035657	0.000000	0.000002	0.000000
rationalPower1,4,4,1	231	86723289	Q7	seconds	day	0.002391	0.001000	0.000006	0.000000
rationalPower1,4,4,1	231	86723289	Q7	minutes	day	0.025293	0.001000	0.000013	0.000000
rationalPower1,4,4,1	231	86723289	Q7	hours	day	0.034982	0.000000	0.000017	0.000000
rationalPower1,4,4,1	231	86723289	Q7	days	day	0.033137	0.001500	0.000030	0.000000
rationalPower1,4,4,1	231	86723289	Q7	months	day	0.012750	0.001000	0.000034	0.000000
rationalPower1,4,8,1	398	86723289	Q7	subsecond	day	0.000392	0.000000	0.000002	0.000000
rationalPower1,4,8,1	398	86723289	Q7	seconds	day	0.006245	0.001000	0.000006	0.000000
rationalPower1,4,8,1	398	86723289	Q7	minutes	day	0.022275	0.001500	0.000011	0.000000
rationalPower1,4,8,1	398	86723289	Q7	hours	day	0.034586	0.001000	0.000013	0.000000
rationalPower1,4,8,1	398	86723289	Q7	days	day	0.031581	0.001000	0.000025	0.000000
rationalPower1,4,8,1	398	86723289	Q7	months	day	0.019780	0.002000	0.000034	0.000000
rationalPower1,4,16,1	648	86723289	Q7	subsecond	day	0.008101	0.000000	0.000002	0.000000
rationalPower1,4,16,1	648	86723289	Q7	seconds	day	0.000497	0.001500	0.000006	0.000000
rationalPower1,4,16,1	648	86723289	Q7	minutes	day	0.032961	0.000500	0.000011	0.000000
rationalPower1,4,16,1	648	86723289	Q7	hours	day	0.033546	0.000000	0.000007	0.000000
rationalPower1,4,16,1	648	86723289	Q7	days	day	0.028367	0.001500	0.000021	0.000000
rationalPower1,4,16,1	648	86723289	Q7	months	day	0.021523	0.003000	0.000033	0.000000
rationalPower1,2,1,1	931	86723289	Q7	subsecond	day	0.000369	0.001000	0.000002	0.000000
rationalPower1,2,1,1	931	86723289	Q7	seconds	day	0.007076	0.005000	0.000005	0.000000
rationalPower1,2,1,1	931	86723289	Q7	minutes	day	0.008839	0.001500	0.000010	0.000000
rationalPower1,2,1,1	931	86723289	Q7	hours	day	0.024930	0.003500	0.000002	0.000000
rationalPower1,2,1,1	931	86723289	Q7	days	day	0.030349	0.006000	0.000020	0.000000
rationalPower1,2,1,1	931	86723289	Q7	months	day	0.016194	0.006000	0.000030	0.000000
rationalPower1,4,32,1	1125	86723289	Q7	subsecond	day	0.012349	0.000000	0.000002	0.000000
rationalPower1,4,32,1	1125	86723289	Q7	seconds	day	0.012450	0.001000	0.000005	0.000000
rationalPower1,4,32,1	1125	86723289	Q7	minutes	day	0.011784	0.001000	0.000009	0.000000
rationalPower1,4,32,1	1125	86723289	Q7	hours	day	0.013394	0.001000	0.000002	0.000000
rationalPower1,4,32,1	1125	86723289	Q7	days	day	0.029979	0.001000	0.000020	0.000000
rationalPower1,4,32,1	1125	86723289	Q7	months	day	0.027055	0.001000	0.000031	0.000000
rationalPower1,2,2,1	1489	86723289	Q7	subsecond	day	0.001106	0.001000	0.000002	0.000000
rationalPower1,2,2,1	1489	86723289	Q7	seconds	day	0.004866	0.003500	0.000005	0.000000
rationalPower1,2,2,1	1489	86723289	Q7	minutes	day	0.011031	0.002500	0.000010	0.000000
rationalPower1,2,2,1	1489	86723289	Q7	hours	day	0.011892	0.003000	0.000002	0.000000
rationalPower1,2,2,1	1489	86723289	Q7	days	day	0.023991	0.002000	0.000018	0.000000
rationalPower1,2,2,1	1489	86723289	Q7	months	day	0.031678	0.001000	0.000025	0.000000
rationalPower1,2,4,1	2343	86723289	Q7	subsecond	day	0.007062	0.000000	0.000001	0.000000
rationalPower1,2,4,1	2343	86723289	Q7	seconds	day	0.008082	0.001000	0.000004	0.000000
rationalPower1,2,4,1	2343	86723289	Q7	minutes	day	0.007757	0.001000	0.000008	0.000000
rationalPower1,2,4,1	2343	86723289	Q7	hours	day	0.011410	0.001000	0.000002	0.000000
rationalPower1,2,4,1	2343	86723289	Q7	days	day	0.032307	0.001000	0.000015	0.000000
rationalPower1,2,4,1	2343	86723289	Q7	months	day	0.021556	0.000000	0.000024	0.000000
rationalPower1,2,8,1	3721	86723289	Q7	subsecond	day	0.000812	0.000000	0.000001	0.000000
rationalPower1,2,8,1	3721	86723289	Q7	seconds	day	0.001949	0.001000	0.000003	0.000000
rationalPower1,2,8,1	3721	86723289	Q7	minutes	day	0.002507	0.002500	0.000007	0.000000
rationalPower1,2,8,1	3721	86723289	Q7	hours	day	0.006906	0.001000	0.000001	0.000000
rationalPower1,2,8,1	3721	86723289	Q7	days	day	0.030707	0.000000	0.000015	0.000000
rationalPower1,2,8,1	3721	86723289	Q7	months	day	0.022408	0.000000	0.000021	0.000000
rationalPower1,2,16,1	5842	86723289	Q7	subsecond	day	0.000988	0.000000	0.000001	0.000000
rationalPower1,2,16,1	5842	86723289	Q7	seconds	day	0.001853	0.001500	0.000003	0.000000
rationalPower1,2,16,1	5842	86723289	Q7	minutes	day	0.002434	0.001500	0.000007	0.000000
rationalPower1,2,16,1	5842	86723289	Q7	hours	day	0.003040	0.000000	0.000001	0.000000
rationalPower1,2,16,1	5842	86723289	Q7	days	day	0.020888	0.000500	0.000002	0.000000
rationalPower1,2,16,1	5842	86723289	Q7	months	day	0.031467	0.000000	0.000019	0.000000
